id,name,lat,lon,borough,description
11,Greenwich Village,40.734,-74.002,Manhattan,"Greenwich Village ( GREN-itch,  GRIN-,  -⁠ij), often referred to by locals as simply ""the Village"", is a neighborhood on the west side of Manhattan in New York City, within Lower Manhattan. Broadly, Greenwich Village is bounded by 14th Street to the north, Broadway to the east, Houston Street to the south, and the Hudson River to the west. Greenwich Village also contains several subsections, including the West Village west of Seventh Avenue and the Meatpacking District in the northwest corner of Greenwich Village.
The neighborhood's name comes from Groenwijck, one of the Dutch names for the village (meaning ""Green District""), which was Anglicized to Greenwich. In the 20th century, Greenwich Village was known as an artists' haven, the Bohemian capital, the cradle of the modern LGBT movement, and the East Coast birthplace of both the Beat and '60s counterculture movements. Greenwich Village contains Washington Square Park, as well as two of New York's private colleges, New York University (NYU) and the New School.Greenwich Village is part of Manhattan Community District 2 and is patrolled by the 6th Precinct of the New York City Police Department. Greenwich Village has undergone extensive gentrification and commercialization; the four ZIP Codes that constitute the Village – 10011, 10012, 10003, and 10014 – were all ranked among the ten most expensive in the United States by median housing price in 2014, according to Forbes, with residential property sale prices in the West Village neighborhood typically exceeding US$2,100 per square foot ($23,000/m2) in 2017."
12,Harlem,,,Manhattan,"Harlem is a neighborhood in the northern section of the New York City borough of Manhattan. It is bounded roughly by Frederick Douglass Boulevard, St. Nicholas Avenue, and Morningside Park on the west; the Harlem River and 155th Street on the north; Fifth Avenue on the east; and Central Park North on the south. The greater Harlem area encompasses several other neighborhoods and extends west to the Hudson River, north to 155th Street, east to the East River, and south to Martin Luther King, Jr., Boulevard, Central Park, and East 96th Street.
Originally a Dutch village, formally organized in 1658, it is named after the city of Haarlem in the Netherlands. Harlem's history has been defined by a series of economic boom-and-bust cycles, with significant population shifts accompanying each cycle. Harlem was predominantly occupied by Jewish and Italian Americans in the 19th century, but African-American residents began to arrive in large numbers during the Great Migration in the 20th century. In the 1920s and 1930s, Central and West Harlem were the center of the Harlem Renaissance, a major African-American cultural movement. With job losses during the Great Depression of the 1930s and the deindustrialization of New York City after World War II, rates of crime and poverty increased significantly. In the 21st century, crime rates decreased significantly, and Harlem started to gentrify.
Central Harlem is part of Manhattan Community District 10. It is patrolled by the 28th and 32nd Precincts of the New York City Police Department. The greater Harlem area also includes Manhattan Community Districts 9 and 11, and several additional police precincts. Fire services are provided by four New York City Fire Department companies. Politically, Harlem is represented by the New York City Council's 7th, 8th, and 9th districts. The area is served by the New York City Subway and local bus routes. It contains several public elementary, middle, and high schools, and is close to several colleges including Columbia University and the City College of New York."
13,Hells Kitchen,40.764,-73.992,Manhattan,"Hell's Kitchen, sometimes known as Clinton, is a neighborhood on the West Side of Manhattan in New York City, west of Midtown Manhattan. It is traditionally considered to be bordered by 34th Street to the south, 59th Street to the north, Eighth Avenue to the east, and the Hudson River to the west.
Until the 1970s, Hell's Kitchen was a bastion of poor and working-class Irish Americans. Though its gritty reputation had long held real-estate prices below those of most other areas of Manhattan, by 1969, the City Planning Commission's Plan for New York City reported that development pressures related to its Midtown location were driving people of modest means from the area. Since the early 1990s, the area has been gentrifying, and rents have risen rapidly. Home of the Actors Studio training school, and adjacent to Broadway theatres, Hell's Kitchen has long been a home to fledgling and working actors.
Hell's Kitchen is part of Manhattan Community District 4. It is patrolled by the 10th and 18th Precincts of the New York City Police Department. The area provides transport, medical, and warehouse-infrastructure support to the business district of Manhattan. It is also known for its extensive selection of multiethnic, small, and relatively inexpensive restaurants, delicatessens, bodegas, bars, and associated nightlife."
14,Clinton,40.764,-73.992,Manhattan,"Hell's Kitchen, sometimes known as Clinton, is a neighborhood on the West Side of Manhattan in New York City, west of Midtown Manhattan. It is traditionally considered to be bordered by 34th Street to the south, 59th Street to the north, Eighth Avenue to the east, and the Hudson River to the west.
Until the 1970s, Hell's Kitchen was a bastion of poor and working-class Irish Americans. Though its gritty reputation had long held real-estate prices below those of most other areas of Manhattan, by 1969, the City Planning Commission's Plan for New York City reported that development pressures related to its Midtown location were driving people of modest means from the area. Since the early 1990s, the area has been gentrifying, and rents have risen rapidly. Home of the Actors Studio training school, and adjacent to Broadway theatres, Hell's Kitchen has long been a home to fledgling and working actors.
Hell's Kitchen is part of Manhattan Community District 4. It is patrolled by the 10th and 18th Precincts of the New York City Police Department. The area provides transport, medical, and warehouse-infrastructure support to the business district of Manhattan. It is also known for its extensive selection of multiethnic, small, and relatively inexpensive restaurants, delicatessens, bodegas, bars, and associated nightlife."
15,Inwood,40.867,-73.922,Manhattan,"Inwood is a neighborhood in the New York City borough of Manhattan, at the northern tip of Manhattan Island, in the U.S. state of New York. It is bounded by the Hudson River to the west, Spuyten Duyvil Creek and Marble Hill to the north, the Harlem River to the east, and Washington Heights to the south.
Inwood is part of Manhattan Community District 12 and its primary ZIP Code is 10034. It is patrolled by the 34th Precinct of the New York City Police Department."
16,Kips Bay,40.741,-73.978,Manhattan,"Kips Bay, or Kip's Bay, is a neighborhood on the east side of the New York City borough of Manhattan. It is roughly bounded by East 34th Street to the north, the East River to the east, East 27th and/or 23rd Streets to the south, and Third Avenue to the west.Kips Bay is part of Manhattan Community District 6 and its primary ZIP Codes are 10010 and 10016. It is patrolled by the 13th and 17th Precincts of the New York City Police Department."
17,Lincoln Square,40.773828,-73.9844722,Manhattan,"Lincoln Square is the name of both a square and the surrounding neighborhood within the Upper West Side of the New York City borough of Manhattan.  Lincoln Square is centered on the intersection of Broadway and Columbus Avenue, between West 65th and West 66th streets. The neighborhood is bounded by Columbus Avenue and Amsterdam Avenue to the east and west, and West 66th and 63rd Street to the north and south. However, the term can be extended to refer to the neighborhood between West 59th Street and West 72nd Street. It is bounded by Hell's Kitchen, Riverside South, Central Park, and the Upper West Side proper. The studios for WABC-TV is located here.
The area includes the 66th Street–Lincoln Center station, served by the New York City Subway's 1 and ​2 trains, and anchored by Lincoln Center, a performing-arts venue.
Lincoln Square is part of Manhattan Community District 7 and its primary ZIP Code is 10023. It is patrolled by the 20th Precinct of the New York City Police Department."
18,Lower East Side,40.715,-73.985,Manhattan,"The Lower East Side, sometimes abbreviated as LES, is a neighborhood in the southeastern part of the New York City borough of Manhattan, roughly located between the Bowery and the East River from Canal to Houston streets. Traditionally an immigrant, working class neighborhood, it began rapid gentrification in the mid-2000s, prompting the National Trust for Historic Preservation to place the neighborhood on their list of America's Most Endangered Places.The Lower East Side is part of Manhattan Community District 3 and its primary ZIP Code is 10002. It is patrolled by the 7th Precinct of the New York City Police Department."
19,Manhattan Valley,40.79935278,-73.96291944,Manhattan,"Manhattan Valley is a neighborhood in the northern part of Upper West Side in Manhattan, New York City. It is bounded by West 110th Street to the north, Central Park West to the east, West 96th Street to the south, and Broadway to the west. It was formerly known as the Bloomingdale District, a name still in occasional use."
20,Midtown East,40.747,-73.986,Manhattan,"Midtown Manhattan is the central portion of the New York City borough of Manhattan. Midtown is home to some of the city's most prominent buildings, including the Empire State Building, the Chrysler Building, the Hudson Yards Redevelopment Project, the headquarters of the United Nations, Grand Central Terminal, and Rockefeller Center, as well as tourist destinations such as Broadway and Times Square.
Midtown Manhattan is the largest central business district in the world and ranks among the most expensive pieces of real estate; Fifth Avenue in Midtown Manhattan commands the world's highest retail rents, with average annual rents at US$3,000 per square foot ($32,000/m2) in 2017. However, due to the high price of retail spaces in Midtown, there are also many vacant storefronts in the neighborhood. Midtown is the country's largest commercial, entertainment, and media center, and also a growing financial center.
The majority of New York City's skyscrapers, including its tallest hotels and apartment towers, are in Midtown. The area hosts commuters and residents working in its offices, hotels, and retail establishments, tourists and students. Times Square, the brightly illuminated hub of the Broadway Theater District, is a major center of the world's entertainment industry. Sixth Avenue also has the headquarters of three of the four major U.S. television networks.
Midtown is part of Manhattan Community District 5. It is patrolled by the 14th and 18th Precincts of the New York City Police Department."
21,Morningside Heights,40.80972222,-73.96027778,Manhattan,"Morningside Heights is a primarily residential neighborhood in the northern section of Manhattan in New York City. One of the three neighborhoods comprising West Harlem, Morningside Heights is bounded by Central Harlem and Morningside Park to the east, at Morningside Drive; Manhattanville to the north, at 125th Street; the Manhattan Valley section of the Upper West Side to the south, at 110th Street; and Riverside Park to the west, at Riverside Drive. The main thoroughfare is Broadway, which runs north–south through the neighborhood.
Morningside Heights, located on a high plateau between Morningside and Riverside Parks, was hard to access until the late 19th century, and was sparsely developed except for the Bloomingdale and Leake and Watts asylums. Morningside Heights, along with the Upper West Side, was considered part of the Bloomingdale District until Morningside Park was finished in the late 19th century. Large-scale development started in the 1890s with the construction of academic and cultural institutions. By the 1900s, the construction of public transportation and the neighborhood's first subway line led to Morningside Heights being developed into a residential neighborhood. Morningside Heights was mostly developed by the 1930s. During the mid-20th century, as the institutions within Morningside Heights expanded, cultural tensions grew between the two groups. After a period of decline, the neighborhood started to gentrify in the 1980s and 1990s.
Much of Morningside Heights is part of the campus of Columbia University, a private Ivy League research university that also owns much of the neighborhood's off-campus real estate. Morningside Heights contains numerous other educational institutions such as Teachers College, Barnard College, the Manhattan School of Music, Bank Street College of Education, Union Theological Seminary, and the Jewish Theological Seminary of America. Additionally, Morningside Heights includes several religious institutions, including the Cathedral of St. John the Divine, Riverside Church, the Church of Notre Dame, Corpus Christi Church, and Interchurch Center. The neighborhood also contains other architectural landmarks, such as St. Luke's Hospital (now Mount Sinai Morningside) and Grant's Tomb.
Morningside Heights is part of Manhattan Community District 9. It is patrolled by the 26th Precinct of the New York City Police Department. Fire services are provided by the New York City Fire Department's Engine Company 47 and Engine Company 37/Ladder Company 40. Politically it is represented by the New York City Council's 7th District."
22,Murray Hill,40.748,-73.978,Manhattan,"Murray Hill is a neighborhood on the east side of Manhattan in New York City. Murray Hill is bordered to the east by the East River, to the west by Midtown Manhattan, to the south by Kips Bay and Rose Hill, and to the north by Turtle Bay. Its exact boundaries are disputed and vary widely, but it is generally located between East 32nd Street and/or 34th Street to the south, East 40th Street and/or 42nd Street to the north, Madison Avenue or Fifth Avenue to the west, and the East River to the east.
Murray Hill was named after Robert Murray, the head of the Murray family, a mercantile family that settled in the area in the 18th century. The Murray property was located on a steep glacial hill that peaked between Lexington Avenue and Broadway. Through the 19th century, Murray Hill was relatively isolated from the rest of New York City, which at the time was centered in lower Manhattan. Murray Hill became an upscale neighborhood during the 20th century. Today, it contains several cultural institutions, as well as missions and consulates to the nearby United Nations headquarters.
Murray Hill is part of Manhattan Community District 6 and its primary ZIP Codes are 10016 and 10017. It is patrolled by the 17th Precinct of the New York City Police Department."
23,Little Italy,40.719,-73.997,Manhattan,"Little Italy (Italian: Piccola Italia) is a neighborhood in Lower Manhattan in New York City, once known for its large population of Italian Americans and Italian immigrants. It is bounded on the west by Tribeca and Soho, on the south by Chinatown, on the east by the Bowery and Lower East Side, and on the north by Nolita."
24,Roosevelt Island,40.76138889,-73.95083333,Manhattan,"Roosevelt Island is a narrow island in New York City's East River, within the borough of Manhattan. It lies between Manhattan Island to its west and the borough of Queens, on Long Island, to its east. Running from the equivalent of East 46th to 85th Streets on Manhattan Island, it is about 2 miles (3.2 km) long, with a maximum width of 800 feet (240 m), and a total area of 147 acres (0.59 km2). Together with Mill Rock, Roosevelt Island constitutes Manhattan's Census Tract 238, which has a land area of 0.279 sq mi (0.72 km2), and had a population of 9,520 as of the 2000 United States Census. It had a population of 11,661 as of the 2010 United States Census.The island was called Minnehanonck by the Lenape and Varkens Eylandt (Hog Island) by New Netherlanders, and during the colonial era and later as Blackwell's Island. It was known as Welfare Island when it was used principally for hospitals, from 1921 to 1973. It was renamed Roosevelt Island (after Franklin D. Roosevelt) in 1973.Roosevelt Island is owned by the city but was leased to the New York State Urban Development Corporation for 99 years in 1969. Most of the residential buildings on Roosevelt Island are rental buildings. There is also a cooperative named Rivercross and a condominium building named Riverwalk. One rental building (Eastwood) has left New York State's Mitchell-Lama Housing Program, though current residents are still protected. It is now called Roosevelt Landings. There are attempts to privatize three other buildings, including the cooperative. The FDNY also maintains its Special Operations Command facility at 750 Main St. on the island."
25,SoHo,40.723,-74,Manhattan,"SoHo, sometimes written Soho, is a neighborhood in Lower Manhattan in New York City, which in recent history came to the public's attention for being the location of many artists' lofts and art galleries, but is now better known for its variety of shops ranging from trendy upscale boutiques to national and international chain store outlets. The area's history is an archetypal example of inner-city regeneration and gentrification, encompassing socioeconomic, cultural, political, and architectural developments.The name ""SoHo"" refers to the area being ""South of Houston Street"", a name coined in 1962 by Chester Rapkin, an urban planner and author of The South Houston Industrial Area study, also known as the ""Rapkin Report"". The name also recalls Soho, an area in London's West End.Almost all of SoHo is included in the SoHo–Cast Iron Historic District, which was designated by the New York City Landmarks Preservation Commission in 1973, extended in 2010, and was listed on the National Register of Historic Places and declared a National Historic Landmark in 
1978. It consists of 26 blocks and approximately 500 buildings, many of them incorporating cast-iron architectural elements. Many side streets in the district are paved with Belgian blocks.SoHo is part of Manhattan Community District 2 and its primary ZIP Codes are 10012 and 10013. It is patrolled by the 1st Precinct of the New York City Police Department."
26,Tribeca,40.718,-74.008,Manhattan,"Tribeca , originally written as TriBeCa, is a neighborhood in Lower Manhattan in New York City.  Its name is a syllabic abbreviation of ""Triangle Below Canal Street"". The ""triangle"", or more accurately, a trapezoid, is bounded by Canal Street, West Street, Broadway, and Chambers Street.  More recently, a common marketing tactic has been to extend Tribeca's southern boundary to either Vesey or Murray Streets to increase the appeal of property listings.The neighborhood began as farmland, became residential in the early 19th century, then transitioned into a mercantile one centered on produce, dry goods, and textiles, before being colonized by artists and then actors, models, entrepreneurs and other celebrities. The neighborhood is home to the Tribeca Film Festival, which was created in response to the September 11 attacks, to reinvigorate the neighborhood and downtown after the destruction caused by the terrorist attacks.Tribeca is part of Manhattan Community District 1 and its primary ZIP Codes are 10007 and 10013. It is patrolled by the 1st Precinct of the New York City Police Department."
27,Upper East Side,40.769,-73.966,Manhattan,"The Upper East Side, sometimes abbreviated UES, is a neighborhood in the borough of Manhattan in New York City, bounded by 96th Street to the north, the East River to the east, 59th Street to the south, and Central Park/Fifth Avenue to the west. The area incorporates several smaller neighborhoods, including Lenox Hill, Carnegie Hill, and Yorkville. Once known as the Silk Stocking District, it is now one of the most affluent neighborhoods in New York City.The Upper East Side is part of Manhattan Community District 8 and its primary ZIP Codes are 10021, 10028, 10065, 10075, and 10128. It is patrolled by the 19th Precinct of the New York City Police Department."
28,Upper West Side,40.787,-73.975,Manhattan,"The Upper West Side is a neighborhood in the borough of Manhattan in New York City. It is bounded by Central Park on the east, the Hudson River on the west, West 59th Street to the south, and West 110th Street to the north.Like the Upper East Side, the Upper West Side is an affluent, primarily residential area with many of its residents working in commercial areas of Midtown and Lower Manhattan. Similarly to the Museum Mile district on the Upper East Side, the Upper West Side is considered one of Manhattan's cultural and intellectual hubs, with Columbia University and Barnard College located just to the north of the neighborhood, and Lincoln Center for the Performing Arts and Fiorello H. LaGuardia High School located at the south end. The Upper West Side is among New York City's wealthiest neighborhoods.The Upper West Side is part of Manhattan Community District 7 and its primary ZIP Codes are 10023, 10024, 10025, and 10069. It is patrolled by the 20th and 24th Precincts of the New York City Police Department. It is sometimes abbreviated UWS."
29,Washington Heights,40.84,-73.94,Manhattan,"Washington Heights is a neighborhood in the northern portion of the New York City borough of Manhattan. It is named for Fort Washington, a fortification constructed at the highest natural point on Manhattan island by Continental Army troops during the American Revolutionary War, to defend the area from the British forces. Washington Heights is bordered by Inwood to the north along Dyckman Street, Harlem to the south along 155th Street, the Harlem River and Coogan's Bluff to the east, and the Hudson River to the west. As of 2016, it has a population of 201,590.
Washington Heights is part of Manhattan Community District 12 and its primary ZIP Codes are 10032, 10033, and 10040. It is patrolled by the 33rd and 34th Precincts of the New York City Police Department.

"
30,West Village,40.736,-74.004,Manhattan,"The West Village is a neighborhood in the western section of the larger Greenwich Village neighborhood of Lower Manhattan, New York City.The traditional boundaries of the West Village are the Hudson River to the west, West 14th Street to the north, Greenwich Avenue to the east, and Christopher Street to the south. Other popular definitions have extended the southern boundary as far south as Houston Street, and some use Seventh Avenue or Avenue of the Americas as the eastern boundary. The Far West Village extends from the Hudson River to Hudson Street, between Gansevoort Street and Leroy Street. Neighboring communities include Chelsea to the north, the South Village and Hudson Square to the south, and the Washington Square neighborhood of Greenwich Village to the east.The West Village is part of Manhattan Community District 2, and is patrolled by the 6th Precinct of the New York City Police Department. Residential property sale prices in West Village are among the most expensive in the United States, typically exceeding US$2,100 per square foot ($23,000/m2) in 2017."
31,Baychester,40.87,-73.835,Bronx,"Baychester is a neighborhood geographically located in the northeast part of the Bronx, New York City. Its boundaries are East 222nd Street to the northeast, the New England Thruway (I-95) to the east, Gun Hill Road to the southwest, and Boston Road to the northwest. Eastchester Road is the primary thoroughfare through Baychester.
The neighborhood is part of Bronx Community Board 12. Many homes are located on streets in the 201s and advancing to the 220s. While 10469 is the primary ZIP Code of Baychester, it also covers the adjacent neighborhood of Pelham Gardens, Bronx. The area is patrolled by the 47th Precinct of the New York City Police Department."
